"id","query"
251,"Medicina alternativa"
252,"Sistemas de reforma e pensões na Europa"
253,"Países com pena de morte"
254,"Danos provocados por terramotos"
255,"Viciados na Internet"
256,"Doença de Creutzfeldt-Jakob"
257,"Limpeza étnica nos Balcãs"
258,"Impacto da ""fuga de cérebros"""
259,"Urso de Ouro"
260,"Legislação anti-tabagista"
261,"Adivinhação"
262,"Espectáculos de beneficiência"
263,"Disputas de arbitragem no futebol"
264,"Contrabando de material radioativo"
265,"Aquisições do Deutsche Bank"
266,"Discriminação contra os ciganos na Europa"
267,"Melhor Filme Estrangeiro"
268,"Ética e a Clonagem Humana"
269,"Ratificação de tratados"
270,"Concorrentes da Microsoft"
271,"Casamentos Gays"
272,"Biografia do presidente checo"
273,"Expansão da OTAN"
274,"Bombas não detonadas da Segunda Guerra Mundial"
275,"Doenças relacionadas ao fumo"
276,"Subsídios agrícolas da UE"
277,"Eutanásia por profissionais da saúde"
278,"Transporte para deficientes"
279,"Referendos suíços"
280,"Crime em Nova York"
281,"Radovan Karadzic"
282,"Maus-tratos nas prisões"
283,"Filmes da série James Bond"
284,"Missões do vaivém espacial"
285,"Movimentos anti-aborto"
286,"Lesões no futebol"
287,"Ações terroristas com reféns"
288,"Importações de carros para os EUA"
289,"Ilhas Malvinas"
290,"Flutuação do preço do petróleo"
291,"Imigrantes ilegais na UE"
292,"Reconstrução de cidades alemãs"
293,"Relações entre a China e a Formosa"
294,"Força dos furações"
295,"Lavagem de dinheiro"
296,"Liszt tocado em público"
297,"Expulsões de pessoal diplomático"
298,"Centrais nucleares"
299,"Riscos das missões de manutenção de paz da ONU"
300,"Prémios na lotaria"
